"filename", "language", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\dev\my-app-pwa\my-pwa-app\app\chat\[chatId]\page.tsx", "TypeScript JSX", 125, 0, 17, 22, 164
"c:\dev\my-app-pwa\my-pwa-app\app\chat\page.tsx", "TypeScript JSX", 90, 0, 8, 14, 112
"c:\dev\my-app-pwa\my-pwa-app\app\friends\page.tsx", "TypeScript JSX", 179, 0, 21, 24, 224
"c:\dev\my-app-pwa\my-pwa-app\app\globals.css", "PostCSS", 0, 120, 0, 6, 126
"c:\dev\my-app-pwa\my-pwa-app\app\layout.tsx", "TypeScript JSX", 27, 0, 1, 3, 31
"c:\dev\my-app-pwa\my-pwa-app\app\login\page.tsx", "TypeScript JSX", 107, 0, 5, 11, 123
"c:\dev\my-app-pwa\my-pwa-app\app\page.tsx", "TypeScript JSX", 254, 0, 43, 42, 339
"c:\dev\my-app-pwa\my-pwa-app\app\post\page.tsx", "TypeScript JSX", 123, 0, 3, 9, 135
"c:\dev\my-app-pwa\my-pwa-app\app\profile\page.tsx", "TypeScript JSX", 115, 0, 9, 20, 144
"c:\dev\my-app-pwa\my-pwa-app\app\streetpass\page.tsx", "TypeScript JSX", 144, 0, 13, 19, 176
"c:\dev\my-app-pwa\my-pwa-app\app\timetable\[userId]\page.tsx", "TypeScript JSX", 84, 0, 1, 8, 93
"c:\dev\my-app-pwa\my-pwa-app\app\timetable\edit\page.tsx", "TypeScript JSX", 117, 0, 9, 12, 138
"Total", "-", 1365, 120, 130, 190, 1805
